area,station,denco,count
0,美深,ふぶ,1
0,美唄,イムラ,1
0,八雲,レーノ,1
0,神居古潭,コタン,1
0,木古内,さいか,1
0,茅沼,みゆき,1
1,恋し浜,みろく,1
1,新利府,レイカ,1
1,象潟,いろは,1
1,碇ヶ関,ひいる,1
1,小鳥谷,スピカ,1
1,勿来,メイ,1
1,角館,あけひ,1
1,かみのやま温泉,ゆのか,1
1,岩切,よしの,1
1,鮎川,ひな,1
1,新鶴,まふゆ,1
1,八戸,ましろ,1
1,青森,せいらん,1
1,白兎,ももな,1
1,五所川原,べにか,1
1,荒井(宮城),まやか,1
2,鹿沼,りんご,1
2,五反田,ニャッシュ ダッチュー,2
2,東京貨物ターミナル,にころ,1
2,王子,しぐれ,1
2,八潮,みらい,1
2,新百合ヶ丘,うらら ほこね,2
2,京橋(東京),リオナ,1
2,作草部,チコ マコ,2
2,阿佐ケ谷,カノン,1
2,敷島,ヒメギ,1
2,江見,なより,1
2,上野,ちとせ,1
2,青砥,そら,1
2,羽貫,ミユ,1
2,大雄山,るり,1
2,那珂湊,ねも,1
2,汐入,みそら,1
2,品川,めぐる,1
2,金沢文庫,ギンカ,1
2,荻窪,アヤ,1
2,江ノ島,ナツミ,1
2,小涌谷,あすか,1
2,新田野,なのか,1
2,調布,みずか,1
2,新藤原,ぼたん,1
2,横浜,みちる,1
2,所沢,にこ,1
2,勝田,ミキ,1
2,東京,なな,1
2,宇都宮,らいか,1
3,金城ふ頭,セリア,1
3,為栗,メロ,1
3,粟生津,しいら,1
3,神畑,いおり,1
3,倶利伽羅,しおり,1
3,美濃白鳥,ハル,1
3,豊栄,なほ,1
3,浦佐,ノア,1
3,本宿(愛知),ひまり,1
3,蓮台寺,ミオ ナギサ ミナト,3
3,福井(福井),リト,1
3,高岡,やまと,1
3,牧之郷,あい,1
3,下新,ゆき,1
3,田原町(福井),つばさ,1
3,砂田橋,あきら,1
3,北府,ゆめの,1
3,勝山,ていら,1
3,糸魚川,せつか,1
3,樽見,あゆ,1
3,七尾,こうめ,1
3,小浜,まい,1
3,青海川,しゅか,1
3,九頭竜湖,きらら,1
3,王子保,こはな,1
3,寿,むつみ,1
3,大月,シーナ,1
4,新大阪,ルナ,1
4,天下茶屋,さや,1
4,有栖川,もぼ,1
4,北巽,レン,1
4,南巽,レン,1
4,賢島,エリア,1
4,尺土,るる,1
4,三条(京都),なつめ,1
4,白浜,マリン,1
4,橿原神宮前,らら,1
4,トロッコ嵯峨,もみじ,1
4,桂,みやび,1
4,阿下喜,ニナ,1
4,八日市,ゆかり,1
4,信楽,くろがね,1
4,天王寺,たまき,1
4,駒ヶ林,シキネ,1
4,二見浦,みえ,1
4,生駒,わかな,1
4,千旦,あずさ,1
4,和田山,ひょうこ,1
4,苔縄,やちよ,1
5,江波(広島),シャルロッテ,1
5,美談,みこと くに,2
5,岩国,みづほ,1
5,妹尾,まりか,1
5,根雨,つむぎ,1
5,観音町(広島),ひめ,1
5,出雲市,すばる,1
5,安来,あまね,1
5,恋山形,ちづ,1
5,竹原,せとら,1
5,山口(山口),ゆづる,1
6,新居浜,いずな ありす,2
6,坂出,アサ,1
6,窪川,まぜ,1
6,海部,なる,1
6,下灘,いよ,1
6,徳島,ると,1
7,花畑,もえ,1
7,首里,いちほ,1
7,ハウステンボス,ベアトリス,1
7,南郷,にちな,1
7,黒崎,あたる,1
7,湯前,ひびき,1
7,蛍茶屋,みなも,1
7,博多,みつる,1
7,中津(大分),コヨイ,1
7,唐津,シズ,1
7,郡元(鹿児島市交通局),ゆう,1
7,美々津,あさひ,1
7,指宿,おとめ,1
7,阿蘇白川,あそ,1
7,諫早,ちどり,1
7,小倉(福岡),おとは,1
