name,name_kana,lat,lng,radius,area
さっぽろ,さっぽろ,43.06637,141.350299,0,1
新青森,しんあおもり,40.82749,140.693449,0,2
水沢,みずさわ,39.138998,141.146395,0,2
古川,ふるかわ,38.571192,140.967876,0,2
泉外旭川,いずみそとあさひかわ,39.738358,140.112283,0,2
米沢,よねざわ,37.909478,140.128209,0,2
郡山富田,こおりやまとみた,37.420643,140.369167,0,2
土浦,つちうら,36.078644,140.206238,0,3
小山,おやま,36.312747,139.806241,0,3
館林,たてばやし,36.246606,139.527811,0,3
川口,かわぐち,35.801869,139.717472,0,3
柏,かしわ,35.862316,139.971148,0,3
池袋,いけぶくろ,35.730256,139.711086,0,3
川崎,かわさき,35.531311,139.697485,0,3
長岡,ながおか,37.447787,138.853927,0,4
速星,はやほし,36.664135,137.160428,0,4
野々市(IRいしかわ鉄道),ののいち,36.541644,136.598044,0,4
越前開発,えちぜんかいほつ,36.075358,136.241275,0,4
国母,こくぼ,35.630567,138.552113,0,4
松本,まつもと,36.230393,137.96445,0,4
名鉄岐阜,めいてつぎふ,35.411136,136.760066,0,4
沼津,ぬまづ,35.103011,138.860104,0,4
金山(愛知),かなやま,35.142928,136.900517,0,4
津新町,つしんまち,34.715632,136.50006,0,5
瀬田(滋賀),せた,34.987223,135.925673,0,5
西大路,にしおおじ,34.981077,135.731702,0,5
高槻市,たかつきし,34.849905,135.623265,0,5
三ノ宮,さんのみや,34.694766,135.195058,0,5
大和西大寺,やまとさいだいじ,34.69358,135.783169,0,5
和歌山市,わかやまし,34.236717,135.166731,0,5
米子,よなご,35.42327,133.33657,0,6
出雲市,いずもし,35.360694,132.756518,0,6
備前西市,びぜんにしいち,34.631448,133.899852,0,6
福山,ふくやま,34.489291,133.361429,0,6
長府,ちょうふ,34.019264,130.999508,0,6
阿波富田,あわとみだ,34.064051,134.555658,0,7
丸亀,まるがめ,34.291974,133.792917,0,7
今治,いまばり,34.063765,132.99408,0,7
土佐一宮,とさいっく,33.578974,133.577274,0,7
大板井,おおいたい,33.398452,130.560727,0,8
基山,きやま,33.420945,130.532365,0,8
佐世保,させぼ,33.163868,129.725667,0,8
健軍町,けんぐんまち,32.778381,130.761209,0,8
別府大学,べっぷだいがく,33.31327,131.499255,0,8
南宮崎,みなみみやざき,31.895097,131.422329,0,8
国分(鹿児島),こくぶ,31.743657,130.763447,0,8
嘉手納,かでな,26.36275,127.755194,0,8
